variant,n_pairs,mean_log_ratio,geomean_ratio,threshold_ratio,t_stat,df,p_value,passes
S10_topn_order,7,0.10204607937675232,1.107434500443813,0.9,6.263777039861123,6,0.9999999998121187,False
S1_expr_eq_num,7,-0.31648616434079774,0.7287050936053725,0.9,-38.741770510126635,6,0.0,True
S2_like_prefix,7,-0.20521119310825636,0.8144752866789153,0.9,-8.639826495627348,6,0.0,True
S3_trgm_contains,7,-0.5934858957637775,0.5523983216363618,0.9,-58.64592312676313,6,0.0,True
S4_ts_range,7,-0.41483746242101244,0.6604476195385774,0.9,-171.87085524891634,6,0.0,True
S5_array_and,7,-0.7544171705154701,0.4702846306193579,0.9,-138.05181375904453,6,0.0,True
S6_array_or,7,-1.3325217049118774,0.26381116788941045,0.9,-182.36824050238957,6,0.0,True
S7_and2,7,-2.4864304130732755,0.0832064497543804,0.9,-247.12196743502682,6,0.0,True
S8_and3,7,-10.84619287626063,1.947862443893991e-05,0.9,-541.8889630922928,6,0.0,True
S9_or_keys,7,-1.6118679995379794,0.19951457263349956,0.9,-167.48031728206308,6,0.0,True
__OVERALL__,70,-1.8459404800556323,0.1578767710920765,0.9,-4.681577861583374,69,1.4233761582715942e-06,True
