variant,engine,n,p95_ms,shared_hits_mean
S1_expr_eq_num,jsonb,150,73.00755,8551.6
S1_expr_eq_num,rel,150,53.9434,8509.8
S2_like_prefix,jsonb,150,0.06409999999999996,12.8
S2_like_prefix,rel,150,0.049,6.6
S3_trgm_contains,jsonb,150,418.25989999999996,37260.6
S3_trgm_contains,rel,150,228.64799999999997,11709.2
S4_ts_range,jsonb,150,98.78429999999999,15422.6
S4_ts_range,rel,150,64.968,9482.4
S5_array_and,jsonb,150,233.58325,20274.0
S5_array_and,rel,150,110.98975,10669.8
S6_array_or,jsonb,150,985.9867499999999,36960.6
S6_array_or,rel,150,405.18474999999995,11469.0
S7_and2,jsonb,150,65.8234,8588.2
S7_and2,rel,150,48.501949999999994,8546.4
S8_and3,jsonb,150,43.37935,8589.8
S8_and3,rel,150,51.2734,8545.8
S9_or_keys,jsonb,150,613.3006499999998,37056.8
S9_or_keys,rel,150,177.4424,11564.6
S10_topn_order,jsonb,150,53.62119999999999,8616.0
S10_topn_order,rel,150,44.15554999999999,8592.0
