variant,jsonb_ind,jsonb_unind,rel_ind,rel_unind,family
S10_topn_order,104.973,751.374,47.037,221.226,S10
S1_expr_eq_num,72.887,498.625,59.907,314.204,S1
S2_like_prefix,0.089,423.524,0.068,169.873,S2
S3_trgm_contains,421.978,1067.214,239.123,674.191,S3
S4_ts_range,98.667,994.026,66.207,194.743,S4
S5_array_and,235.812,786.067,125.546,719.424,S5
S6_array_or,1030.907,902.988,244.549,556.092,S6
S7_and2,77.066,513.406,58.577,295.144,S7
S8_and3,44.861,579.11,57.154,340.46,S8
S9_or_keys,614.192,861.575,192.122,549.854,S9
